Accession,description,Group,concentration,Method,Alternative,P value,Log2FC
98,Q9Y490,Talin-1 [OS=Homo sapiens],Diglycerol,1000,Welch Two Sample t-test,two.sided,7.31E-06,-0.627408501
99,Q9Y490,Talin-1 [OS=Homo sapiens],Glucose,10,Welch Two Sample t-test,two.sided,0.022871991,-0.052290547
100,Q9Y490,Talin-1 [OS=Homo sapiens],Glucose,100,Welch Two Sample t-test,two.sided,0.001118245,-0.286195274
101,Q9Y490,Talin-1 [OS=Homo sapiens],Glucose,1000,Welch Two Sample t-test,two.sided,5.91E-05,-0.493702467
102,Q9Y490,Talin-1 [OS=Homo sapiens],IMP,10,Welch Two Sample t-test,two.sided,0.000272013,-0.866717004
103,Q9Y490,Talin-1 [OS=Homo sapiens],IMP,100,Welch Two Sample t-test,two.sided,6.83E-05,-0.313171441
104,Q9Y490,Talin-1 [OS=Homo sapiens],IMP,1000,Welch Two Sample t-test,two.sided,5.13E-06,-0.693484172
105,Q9Y490,Talin-1 [OS=Homo sapiens],PtdIns,10,Welch Two Sample t-test,two.sided,1.35E-06,-0.967400096
106,Q9Y490,Talin-1 [OS=Homo sapiens],PtdIns,100,Welch Two Sample t-test,two.sided,0.000143093,-0.876381612
107,Q9Y490,Talin-1 [OS=Homo sapiens],PtdIns,1000,Welch Two Sample t-test,two.sided,5.27E-05,-0.540525206
108,Q9Y490,Talin-1 [OS=Homo sapiens],Sauce 1,10,Welch Two Sample t-test,two.sided,5.53E-05,-0.724387195
109,Q9Y490,Talin-1 [OS=Homo sapiens],Sauce 1,100,Welch Two Sample t-test,two.sided,6.07E-05,-1.091459786
110,Q9Y490,Talin-1 [OS=Homo sapiens],Sauce 1,1000,Welch Two Sample t-test,two.sided,0.030367157,-0.055614393
111,Q9Y490,Talin-1 [OS=Homo sapiens],Sauce 2,10,Welch Two Sample t-test,two.sided,2.39E-06,-1.263945931
112,Q9Y490,Talin-1 [OS=Homo sapiens],Sauce 2,100,Welch Two Sample t-test,two.sided,1.31E-05,-0.771183332
113,Q9Y490,Talin-1 [OS=Homo sapiens],Sauce 2,1000,Welch Two Sample t-test,two.sided,3.01E-05,-0.475388811
114,Q9Y490,Talin-1 [OS=Homo sapiens],Triglyceride,10,Welch Two Sample t-test,two.sided,0.077384025,-0.034027576
115,Q9Y490,Talin-1 [OS=Homo sapiens],Triglyceride,100,Welch Two Sample t-test,two.sided,0.000325122,-0.273137206
116,Q9Y490,Talin-1 [OS=Homo sapiens],Triglyceride,1000,Welch Two Sample t-test,two.sided,0.000208488,0.207547596
117,P02787,Serotransferrin [OS=Homo sapiens],PE,10,Welch Two Sample t-test,two.sided,1.67E-05,0.519217937
118,P02787,Serotransferrin [OS=Homo sapiens],PE,100,Welch Two Sample t-test,two.sided,0.000168039,0.522781572
119,P02787,Serotransferrin [OS=Homo sapiens],PE,1000,Welch Two Sample t-test,two.sided,2.72E-07,1.119091666
120,P02787,Serotransferrin [OS=Homo sapiens],B-complex,10,Welch Two Sample t-test,two.sided,0.001063613,0.335333926
121,P02787,Serotransferrin [OS=Homo sapiens],B-complex,100,Welch Two Sample t-test,two.sided,0.001314756,0.376053603
122,P02787,Serotransferrin [OS=Homo sapiens],B-complex,1000,Welch Two Sample t-test,two.sided,0.011407993,0.097153354
123,P02787,Serotransferrin [OS=Homo sapiens],PtdChos,10,Welch Two Sample t-test,two.sided,0.038862537,0.067709798
124,P02787,Serotransferrin [OS=Homo sapiens],PtdChos,1000,Welch Two Sample t-test,two.sided,0.000301536,-0.936368922
125,P02787,Serotransferrin [OS=Homo sapiens],Diglycerol,10,Welch Two Sample t-test,two.sided,0.000202477,0.479656092
126,P02787,Serotransferrin [OS=Homo sapiens],Diglycerol,100,Welch Two Sample t-test,two.sided,1.55E-05,0.60086482
127,P02787,Serotransferrin [OS=Homo sapiens],Diglycerol,1000,Welch Two Sample t-test,two.sided,3.80E-05,0.431633999
128,P02787,Serotransferrin [OS=Homo sapiens],Glucose,10,Welch Two Sample t-test,two.sided,0.000151374,0.873990559
129,P02787,Serotransferrin [OS=Homo sapiens],Glucose,100,Welch Two Sample t-test,two.sided,0.000153365,0.694234753
130,P02787,Serotransferrin [OS=Homo sapiens],Glucose,1000,Welch Two Sample t-test,two.sided,1.22E-05,0.633736313
131,P02787,Serotransferrin [OS=Homo sapiens],IMP,10,Welch Two Sample t-test,two.sided,0.000185165,0.405147749
132,P02787,Serotransferrin [OS=Homo sapiens],IMP,100,Welch Two Sample t-test,two.sided,0.000187872,0.319018668
133,P02787,Serotransferrin [OS=Homo sapiens],IMP,1000,Welch Two Sample t-test,two.sided,0.021819454,0.083244803
134,P02787,Serotransferrin [OS=Homo sapiens],PtdIns,10,Welch Two Sample t-test,two.sided,2.82E-05,0.512539869
135,P02787,Serotransferrin [OS=Homo sapiens],PtdIns,100,Welch Two Sample t-test,two.sided,1.78E-06,0.798574827
136,P02787,Serotransferrin [OS=Homo sapiens],PtdIns,1000,Welch Two Sample t-test,two.sided,0.000304453,0.514161853
137,P02787,Serotransferrin [OS=Homo sapiens],Sauce 1,10,Welch Two Sample t-test,two.sided,0.000298107,-0.36449979
138,P02787,Serotransferrin [OS=Homo sapiens],Sauce 1,100,Welch Two Sample t-test,two.sided,0.207381053,0.03090326
139,P02787,Serotransferrin [OS=Homo sapiens],Sauce 1,1000,Welch Two Sample t-test,two.sided,6.93E-06,0.906039989
140,P02787,Serotransferrin [OS=Homo sapiens],Sauce 2,10,Welch Two Sample t-test,two.sided,0.000519971,0.280245326
141,P02787,Serotransferrin [OS=Homo sapiens],Sauce 2,100,Welch Two Sample t-test,two.sided,0.00147874,0.247168743
142,P02787,Serotransferrin [OS=Homo sapiens],Sauce 2,1000,Welch Two Sample t-test,two.sided,0.000445717,0.370306953
143,P02787,Serotransferrin [OS=Homo sapiens],Triglyceride,10,Welch Two Sample t-test,two.sided,0.001529077,0.284415194
144,P02787,Serotransferrin [OS=Homo sapiens],Triglyceride,100,Welch Two Sample t-test,two.sided,1.71E-05,0.823532806
145,P02787,Serotransferrin [OS=Homo sapiens],Triglyceride,1000,Welch Two Sample t-test,two.sided,1.91E-07,1.303702568
146,P02671,Fibrinogen alpha chain [OS=Homo sapiens],PE,10,Welch Two Sample t-test,two.sided,0.000369829,0.5889344
147,P02671,Fibrinogen alpha chain [OS=Homo sapiens],PE,100,Welch Two Sample t-test,two.sided,3.69E-06,0.651657603
148,P02671,Fibrinogen alpha chain [OS=Homo sapiens],PE,1000,Welch Two Sample t-test,two.sided,1.82E-08,0.686478139
149,P02671,Fibrinogen alpha chain [OS=Homo sapiens],B-complex,10,Welch Two Sample t-test,two.sided,8.27E-06,-1.034232794
150,P02671,Fibrinogen alpha chain [OS=Homo sapiens],B-complex,100,Welch Two Sample t-test,two.sided,2.35E-06,-0.272816341
151,P02671,Fibrinogen alpha chain [OS=Homo sapiens],B-complex,1000,Welch Two Sample t-test,two.sided,6.92E-07,-0.708194934
152,P02671,Fibrinogen alpha chain [OS=Homo sapiens],PtdChos,10,Welch Two Sample t-test,two.sided,6.53E-05,0.302598455
153,P02671,Fibrinogen alpha chain [OS=Homo sapiens],PtdChos,1000,Welch Two Sample t-test,two.sided,6.87E-05,0.471403459
154,P02671,Fibrinogen alpha chain [OS=Homo sapiens],Diglycerol,10,Welch Two Sample t-test,two.sided,1.39E-07,-0.614855848
155,P02671,Fibrinogen alpha chain [OS=Homo sapiens],Diglycerol,100,Welch Two Sample t-test,two.sided,0.000394009,-0.477858621
156,P02671,Fibrinogen alpha chain [OS=Homo sapiens],Diglycerol,1000,Welch Two Sample t-test,two.sided,1.50E-07,-0.465698238
157,P02671,Fibrinogen alpha chain [OS=Homo sapiens],Glucose,10,Welch Two Sample t-test,two.sided,0.00074166,-0.639948806
158,P02671,Fibrinogen alpha chain [OS=Homo sapiens],Glucose,100,Welch Two Sample t-test,two.sided,0.0007684,-0.438824432
159,P02671,Fibrinogen alpha chain [OS=Homo sapiens],Glucose,1000,Welch Two Sample t-test,two.sided,2.34E-06,-0.635379022
160,P02671,Fibrinogen alpha chain [OS=Homo sapiens],IMP,10,Welch Two Sample t-test,two.sided,1.46E-07,0.529640188
161,P02671,Fibrinogen alpha chain [OS=Homo sapiens],IMP,100,Welch Two Sample t-test,two.sided,0.002450503,-0.038959583
162,P02671,Fibrinogen alpha chain [OS=Homo sapiens],IMP,1000,Welch Two Sample t-test,two.sided,9.75E-06,-0.174065923
163,P02671,Fibrinogen alpha chain [OS=Homo sapiens],PtdIns,10,Welch Two Sample t-test,two.sided,0.001231827,0.064950147
164,P02671,Fibrinogen alpha chain [OS=Homo sapiens],PtdIns,100,Welch Two Sample t-test,two.sided,2.18E-05,-0.233162632
165,P02671,Fibrinogen alpha chain [OS=Homo sapiens],PtdIns,1000,Welch Two Sample t-test,two.sided,4.25E-08,-0.84565066
166,P02671,Fibrinogen alpha chain [OS=Homo sapiens],Sauce 1,10,Welch Two Sample t-test,two.sided,9.92E-05,1.605025974
167,P02671,Fibrinogen alpha chain [OS=Homo sapiens],Sauce 1,100,Welch Two Sample t-test,two.sided,1.17E-06,-0.474253301
168,P02671,Fibrinogen alpha chain [OS=Homo sapiens],Sauce 1,1000,Welch Two Sample t-test,two.sided,1.47E-06,-1.222677459
169,P02671,Fibrinogen alpha chain [OS=Homo sapiens],Sauce 2,10,Welch Two Sample t-test,two.sided,3.43E-05,1.744692792
170,P02671,Fibrinogen alpha chain [OS=Homo sapiens],Sauce 2,100,Welch Two Sample t-test,two.sided,0.000136601,1.576385691
171,P02671,Fibrinogen alpha chain [OS=Homo sapiens],Sauce 2,1000,Welch Two Sample t-test,two.sided,5.36E-09,-1.545369466
172,P02671,Fibrinogen alpha chain [OS=Homo sapiens],Triglyceride,10,Welch Two Sample t-test,two.sided,0.00013719,-0.102263188
173,P02671,Fibrinogen alpha chain [OS=Homo sapiens],Triglyceride,100,Welch Two Sample t-test,two.sided,5.56E-08,-1.23504077
174,P02671,Fibrinogen alpha chain [OS=Homo sapiens],Triglyceride,1000,Welch Two Sample t-test,two.sided,7.77E-09,-1.260651916
175,P21333,Filamin-A [OS=Homo sapiens],PE,10,Welch Two Sample t-test,two.sided,2.27E-05,-1.482182304
176,P21333,Filamin-A [OS=Homo sapiens],PE,100,Welch Two Sample t-test,two.sided,2.00E-06,-0.793315069
177,P21333,Filamin-A [OS=Homo sapiens],PE,1000,Welch Two Sample t-test,two.sided,2.06E-07,-1.254214032
178,P21333,Filamin-A [OS=Homo sapiens],B-complex,10,Welch Two Sample t-test,two.sided,2.59E-06,-0.732757584
179,P21333,Filamin-A [OS=Homo sapiens],B-complex,100,Welch Two Sample t-test,two.sided,7.70E-07,-1.355733095
180,P21333,Filamin-A [OS=Homo sapiens],B-complex,1000,Welch Two Sample t-test,two.sided,1.78E-07,-1.173538686
181,P21333,Filamin-A [OS=Homo sapiens],PtdChos,10,Welch Two Sample t-test,two.sided,3.73E-06,-1.361625438
182,P21333,Filamin-A [OS=Homo sapiens],PtdChos,1000,Welch Two Sample t-test,two.sided,9.85E-07,0.699050534
183,P21333,Filamin-A [OS=Homo sapiens],Diglycerol,10,Welch Two Sample t-test,two.sided,0.002968893,-0.123753614
184,P21333,Filamin-A [OS=Homo sapiens],Diglycerol,100,Welch Two Sample t-test,two.sided,7.06E-05,-0.218404312
185,P21333,Filamin-A [OS=Homo sapiens],Diglycerol,1000,Welch Two Sample t-test,two.sided,4.17E-07,-0.831453628
186,P21333,Filamin-A [OS=Homo sapiens],Glucose,10,Welch Two Sample t-test,two.sided,0.000432977,-0.37219258
187,P21333,Filamin-A [OS=Homo sapiens],Glucose,100,Welch Two Sample t-test,two.sided,0.000377894,-0.437735047
188,P21333,Filamin-A [OS=Homo sapiens],Glucose,1000,Welch Two Sample t-test,two.sided,0.000463797,-0.342475008
189,P21333,Filamin-A [OS=Homo sapiens],IMP,10,Welch Two Sample t-test,two.sided,6.90E-06,-1.229748276
190,P21333,Filamin-A [OS=Homo sapiens],IMP,100,Welch Two Sample t-test,two.sided,0.020059968,0.07238754
191,P21333,Filamin-A [OS=Homo sapiens],IMP,1000,Welch Two Sample t-test,two.sided,4.17E-07,-0.885599541
192,P21333,Filamin-A [OS=Homo sapiens],PtdIns,10,Welch Two Sample t-test,two.sided,8.82E-08,-1.520772927
193,P21333,Filamin-A [OS=Homo sapiens],PtdIns,100,Welch Two Sample t-test,two.sided,2.61E-05,-1.188323741
194,P21333,Filamin-A [OS=Homo sapiens],PtdIns,1000,Welch Two Sample t-test,two.sided,5.99E-06,-0.930279329
195,P21333,Filamin-A [OS=Homo sapiens],Sauce 1,10,Welch Two Sample t-test,two.sided,3.33E-06,-0.8310531
196,P21333,Filamin-A [OS=Homo sapiens],Sauce 1,100,Welch Two Sample t-test,two.sided,6.55E-07,-1.479766296
197,P21333,Filamin-A [OS=Homo sapiens],Sauce 1,1000,Welch Two Sample t-test,two.sided,1.93E-06,-0.713298917
198,P21333,Filamin-A [OS=Homo sapiens],Sauce 2,10,Welch Two Sample t-test,two.sided,1.26E-07,-1.968869833
199,P21333,Filamin-A [OS=Homo sapiens],Sauce 2,100,Welch Two Sample t-test,two.sided,2.67E-05,-1.862913742
200,P21333,Filamin-A [OS=Homo sapiens],Sauce 2,1000,Welch Two Sample t-test,two.sided,0.000713585,0.145018808
201,P21333,Filamin-A [OS=Homo sapiens],Triglyceride,10,Welch Two Sample t-test,two.sided,0.00120252,-0.118952976
202,P21333,Filamin-A [OS=Homo sapiens],Triglyceride,100,Welch Two Sample t-test,two.sided,0.00013207,-0.743094919
203,P21333,Filamin-A [OS=Homo sapiens],Triglyceride,1000,Welch Two Sample t-test,two.sided,0.001333856,-0.12169369
204,P01024,Complement C3 [OS=Homo sapiens],PE,10,Welch Two Sample t-test,two.sided,0.001932322,-0.13408198
205,P01024,Complement C3 [OS=Homo sapiens],PE,100,Welch Two Sample t-test,two.sided,0.000302464,0.212765483
206,P01024,Complement C3 [OS=Homo sapiens],PE,1000,Welch Two Sample t-test,two.sided,0.553923692,0.02124952
207,P01024,Complement C3 [OS=Homo sapiens],B-complex,10,Welch Two Sample t-test,two.sided,0.009801567,0.365994014
208,P01024,Complement C3 [OS=Homo sapiens],B-complex,100,Welch Two Sample t-test,two.sided,0.880965174,-0.005603651
209,P01024,Complement C3 [OS=Homo sapiens],B-complex,1000,Welch Two Sample t-test,two.sided,0.851177537,0.003404836
210,P01024,Complement C3 [OS=Homo sapiens],PtdChos,10,Welch Two Sample t-test,two.sided,0.008682971,-0.124133778
211,P01024,Complement C3 [OS=Homo sapiens],PtdChos,1000,Welch Two Sample t-test,two.sided,4.83E-07,1.366908933
212,P01024,Complement C3 [OS=Homo sapiens],Diglycerol,10,Welch Two Sample t-test,two.sided,0.009149502,-0.137569441
213,P01024,Complement C3 [OS=Homo sapiens],Diglycerol,100,Welch Two Sample t-test,two.sided,0.00392127,0.299901188
214,P01024,Complement C3 [OS=Homo sapiens],Diglycerol,1000,Welch Two Sample t-test,two.sided,0.002659328,0.255182689
215,P01024,Complement C3 [OS=Homo sapiens],Glucose,10,Welch Two Sample t-test,two.sided,0.02000767,-0.11199777
216,P01024,Complement C3 [OS=Homo sapiens],Glucose,100,Welch Two Sample t-test,two.sided,0.002569371,0.188329142
217,P01024,Complement C3 [OS=Homo sapiens],Glucose,1000,Welch Two Sample t-test,two.sided,0.022959339,0.074999287
